,game_date,play_id,play_type_nfl,punt_inside_twenty,game_id,possession_team,home_team,away_team,home_score,away_score,total_home_score,total_away_score,win_percentage,game_half,game_seconds_remaining,play_type,defense_win_percentage,return_yards,return_touchdown
65677,2018-10-21,3906.0,PUNT,0.0,2018_07_CLE_TB,TB,TB,CLE,26,23,23.0,16.0,0.8372454,Half2,170.0,punt,0.1627546,32.0,0.0
66355,2018-10-21,2463.0,PUNT,0.0,2018_07_HOU_JAX,HOU,JAX,HOU,7,20,0.0,20.0,0.95062566,Half2,1334.0,punt,0.049374342,21.0,0.0
66553,2018-10-21,3243.0,PUNT,0.0,2018_07_LA_SF,SF,SF,LA,10,39,10.0,32.0,0.0018486602,Half2,749.0,punt,0.99815136,36.0,0.0
66668,2018-10-21,2078.0,PUNT,0.0,2018_07_MIN_NYJ,NYJ,NYJ,MIN,17,37,7.0,10.0,0.3512087,Half1,1914.0,punt,0.6487913,20.0,0.0
67209,2018-10-22,1153.0,PUNT,0.0,2018_07_NYG_ATL,ATL,ATL,NYG,23,20,0.0,0.0,0.48012182,Half1,2256.0,punt,0.51987815,21.0,0.0
67589,2018-10-28,2345.0,PUNT,0.0,2018_08_BAL_CAR,CAR,CAR,BAL,36,21,24.0,7.0,0.9259585,Half2,1619.0,punt,0.074041486,23.0,0.0
67693,2018-10-28,651.0,PUNT,0.0,2018_08_CLE_PIT,CLE,PIT,CLE,33,18,0.0,3.0,0.48073223,Half1,3077.0,punt,0.5192678,23.0,0.0
68499,2018-10-25,2736.0,PUNT,0.0,2018_08_MIA_HOU,HOU,HOU,MIA,42,23,21.0,10.0,0.8457071,Half2,1315.0,punt,0.15429288,21.0,0.0
68672,2018-10-29,2817.0,PUNT,0.0,2018_08_NE_BUF,NE,BUF,NE,6,25,3.0,9.0,0.65419316,Half2,1469.0,punt,0.34580684,31.0,0.0
69038,2018-10-28,2689.0,PUNT,0.0,2018_08_NYJ_CHI,NYJ,CHI,NYJ,24,10,14.0,3.0,0.10521804,Half2,1239.0,punt,0.89478195,21.0,0.0
69208,2018-10-28,2455.0,PUNT,0.0,2018_08_PHI_JAX,PHI,JAX,PHI,18,24,12.0,17.0,0.5710738,Half2,1102.0,punt,0.42892623,23.0,0.0
70274,2018-11-04,2180.0,PUNT,0.0,2018_09_CHI_BUF,BUF,BUF,CHI,9,41,0.0,21.0,0.059290636,Half1,1906.0,punt,0.94070935,36.0,0.0
70458,2018-11-04,1601.0,PUNT,0.0,2018_09_DET_MIN,DET,MIN,DET,24,9,14.0,6.0,0.19007862,Half1,1850.0,punt,0.8099214,24.0,0.0
72701,2018-11-11,1139.0,PUNT,0.0,2018_10_BUF_NYJ,NYJ,NYJ,BUF,10,41,0.0,17.0,0.118363515,Half1,2584.0,punt,0.8816365,21.0,0.0
74195,2018-11-12,123.0,PUNT,0.0,2018_10_NYG_SF,NYG,SF,NYG,23,27,0.0,0.0,0.34601623,Half1,3525.0,punt,0.6539838,23.0,0.0
